city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Zagreb,45.8167,15.9833,Croatia,HR,"Zagreb, Grad",primary,809268,809268
Rijeka,45.3272,14.4411,Croatia,HR,Primorsko-Goranska Županija,admin,191293,128624
Split,43.5100,16.4400,Croatia,HR,Splitsko-Dalmatinska Županija,admin,178102,178102
Osijek,45.5556,18.6944,Croatia,HR,Osječko-Baranjska Županija,admin,84104,84104
Zadar,44.1194,15.2319,Croatia,HR,Zadarska Županija,admin,75082,75082
Sesvete,45.8269,16.1111,Croatia,HR,"Zagreb, Grad",,70009,70009
Velika Gorica,45.7000,16.0667,Croatia,HR,Zagrebačka Županija,minor,63517,63517
Pula,44.8703,13.8456,Croatia,HR,Istarska Županija,minor,57053,57053
Slavonski Brod,45.1667,18.0167,Croatia,HR,Brodsko-Posavska Županija,admin,56769,56769
Karlovac,45.4833,15.5500,Croatia,HR,Karlovačka Županija,,53134,53134
Šibenik,43.7350,15.8906,Croatia,HR,Šibensko-Kninska Županija,admin,46332,46332
Kaštel Stari,43.5500,16.3500,Croatia,HR,Splitsko-Dalmatinska Županija,,43349,43349
Dubrovnik,42.6403,18.1083,Croatia,HR,Dubrovačko-Neretvanska Županija,admin,42615,42615
Bjelovar,45.9000,16.8333,Croatia,HR,Bjelovarsko-Bilogorska Županija,admin,40276,40276
Varaždin,46.3081,16.3378,Croatia,HR,Varaždinska Županija,admin,38839,17314
Sisak,45.4872,16.3761,Croatia,HR,Sisačko-Moslavačka Županija,admin,33322,33322
Vinkovci,45.2911,18.8011,Croatia,HR,Vukovarsko-Srijemska Županija,minor,31057,31057
Koprivnica,46.1500,16.8167,Croatia,HR,Koprivničko-Križevačka Županija,admin,30854,30854
Čakovec,46.3858,16.4333,Croatia,HR,Međimurska Županija,admin,30455,30455
Ðakovo,45.3100,18.4100,Croatia,HR,Osječko-Baranjska Županija,minor,27745,27745
Zaprešić,45.8572,15.8050,Croatia,HR,Zagrebačka Županija,minor,25223,25223
Vukovar,45.3444,19.0025,Croatia,HR,Vukovarsko-Srijemska Županija,admin,24938,24938
Sinj,43.7000,16.6333,Croatia,HR,Splitsko-Dalmatinska Županija,minor,24826,24826
Petrinja,45.4406,16.2783,Croatia,HR,Sisačko-Moslavačka Županija,minor,24671,24671
Solin,43.5317,16.4947,Croatia,HR,Splitsko-Dalmatinska Županija,minor,23926,23926
Kutina,45.4667,16.7833,Croatia,HR,Sisačko-Moslavačka Županija,minor,22760,22760
Požega,45.3331,17.6736,Croatia,HR,Požeško-Slavonska Županija,admin,22364,22364
Virovitica,45.8333,17.3833,Croatia,HR,Virovitičko-Podravska Županija,admin,21291,21291
Dugo Selo,45.8058,16.2331,Croatia,HR,Zagrebačka Županija,minor,17466,17466
Sveti Ivan Zelina,45.9596,16.2431,Croatia,HR,Zagrebačka Županija,minor,15959,15959
Jastrebarsko,45.6719,15.6511,Croatia,HR,Zagrebačka Županija,minor,15866,15866
Metković,43.0500,17.6500,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,15349,15349
Samobor,45.8000,15.7167,Croatia,HR,Zagrebačka Županija,minor,15147,15147
Omiš,43.4333,16.6833,Croatia,HR,Splitsko-Dalmatinska Županija,minor,14936,14936
Vrbovec,45.8833,16.4333,Croatia,HR,Zagrebačka Županija,minor,14797,14797
Ivanić-Grad,45.7081,16.3947,Croatia,HR,Zagrebačka Županija,minor,14723,14723
Viškovo,45.3778,14.3861,Croatia,HR,Primorsko-Goranska Županija,minor,14445,14445
